chromosome	start 	end 	gene	mutation								
15	66386837	66491656	MAP2K1	Bone_tumor:Langerhans_cell_histiocytosis(MAP2K1_SNV);Erdheim-Chester_disease(MAP2K1_SNV);Rosai-Dorfman_disease(MAP2K1_SNV);Cardiofaciocutaneous_syndrome(MAP2K1)								
17	21284672	21315232	MAP2K3	Soft_tissue:Extraskeletal_osteosarcoma(MAP2K3_mutated)								
6	136557046	136793097	MAP3K5	Soft_tissue:Dedifferentiated_liposarcoma(MAP3K5_amp)								
3	152243828	152465780	MBNL1	Soft_tissue:Epithelioid_haemangioma(FOS::MBNL1)|Bone_tumor:Epithelioid_haemangioma_of_bone(FOS::MBNL1)								
12	68808177	68845544	MDM2	Soft_tissue:Atypical_lipomatous_tumour/well_differentiated_liposarcoma(MDM2_amp);Dedifferentiated_liposarcoma(MDM2_amp);Myxofibrosarcoma(MDM2_amp);Extraskeletal_osteosarcoma(MDM2_gain_amp);Intimal_sarcoma(MDM2_amp)|Bone_tumor:Low-grade_central_osteosarcoma(MDM2_amp);Osteosarcoma(MDM2_amp);Parosteal_osteosarcoma(MDM2_amp)								
1	37489993	37514766	MEAF6	Soft_tissue:Ossifying_fibromyxoid_tumour(MEAF6::PHF1)								
X	71118543	71144103	MED12	Soft_tissue:Leiomyoma(MED12_mutated);Undifferentiated_sarcoma(MED12::PRDM10)								
15	99565417	99716488	MEF2A	Bone_tumor:Chondromyxoid_fibroma(MEF2A::GRM1)								
2	66433452	66573869	MEIS1	Soft_tissue:Spindle_cell/sclerosing_rhabdomyosarcoma(MEIS1::NCOA2)								
11	64803510	64811294	MEN1	Soft_tissue:Hibernoma(AIP_del)|Genetic_tumor_syndrome:mutatedilpe endocrine_neoplasia_type_1(MEN1)								
7	116672196	116798377	MET	Soft_tissue:Infantile_fibrosarcoma(TFG::MET)								
X	10445310	10833654	MID1	Genetic_tumor_syndrome:Opitz_G/BBB_syndrome_X-linked(MID1)								
5	149428918	149429023	MIR143	Soft_tissue:Glomous_tumour(MIR143::NOTCH1/2/3)								
13	91347686	91397592	MIR17HG	Soft_tissue:Alveolar_rhabdomyosarcoma(MIR17HG_amp)								
10	59736692	59756041	MRLN	Soft_tissue:Ectomesenchymoma(MRLN_amp)								
16	14071319	14266773	MRTFB	Soft_tissue:Chondroid_lipoma(C11orf95::MRTFB)								
9	21802636	21937651	MTAP	Genetic_tumor_syndrome:Diaphyseal_medullary_stenosis(MTAP)								
8	127735434	127742951	MYC	Soft_tissue:Angiosarcomas(MYC_amp)|Bone_tumor:Primary_non-Hodgkin_lymphoma_of_bone(MYC_SV)								
2	15940550	15947007	MYCN	Soft_tissue:Alveolar_rhabdomyosarcoma(MYCN_amp)								
22	36281280	36388010	MYH9	Soft_tissue:Nodular_fasciitis(MYH9::USP6)								
15	59132434	59372871	MYO1E	Bone_tumor:Chondromyxoid_fibroma(MYO1E::GRM1)								
17	12665890	12768949	MYOCD	Soft_tissue:Leiomyosarcoma(MYOCD_amp)								
11	17719571	17722136	MYOD1	Soft_tissue:Spindle_cell/sclerosing_rhabdomyosarcoma(MYOD1_SNV)								
1	203083129	203086012	MYOG	Soft_tissue:Ectomesenchymoma(MYOG_amp)								
12	57089043	57095476	NAB2	Soft_tissue:Solitary_fibrous_tumour(NAB2::STAT6)								
8	89924515	90003228	NBN	Genetic_tumor_syndrome:Nijmegen_breakage_syndrome(NBN)								
8	70109782	70403808	NCOA2	Soft_tissue:Angiofibroma_of_soft_tissue(AHRR::NCOA2,GTF2I::NCOA2,NCOA2_SV);Spindle_cell/sclerosing_rhabdomyosarcoma(SRF::NCOA2,TEAD1::NCOA2,VGLL2::NCOA2,MEIS1::NCOA2)|Bone_tumor:Mesenchymal_chondrosarcoma(HEY1::NCOA2)								
17	31094927	31382116	NF1	Soft_tissue:Neurofibroma(NF1_del);Embryonal_rhabdomyosarcoma(NF1_SNV);Pleomorphic_liposarcoma(NF1_mutated);Myxofibrosarcoma(NF1_del,NF1_mutated);Extraskeletal_osteosarcoma(NF1_mutated);Inflammatory_leiomyosarcoma(NF1_mutated);Neurofibroma(NF1_del);Malignant_peripheral_nerve_sheath_tumour(NF1_mutated)|Genetic_tumor_syndrome:Neurofibromatosis_type_1(NF1)								
22	29603553	29698598	NF2	Soft_tissue:Schwannoma(NF2_del);Perineurioma(NF2_del)|Genetic_tumor_syndrome:Neurofibromatosis_type_2								
20	51386957	51562831	NFATC2	Undifferentiated_small_round_cell_sarcoma:Round_cell_sarcoma_with_EWSR1-non-ETS_fusions(EWSR1::NFATC2,FUS::NFATC2)								
X	71254814	71301522	NONO	Soft_tissue:PEComa(NONO::TFE3)								
9	136494433	136546048	NOTCH1	Soft_tissue:Glomous_tumour(MIR143::NOTCH1);Atypical_fibroxanthoma(NOTCH1_mutated)								
1	119911553	120100779	NOTCH2	Soft_tissue:Glomous_tumour(MIR143::NOTCH2)								
19	15159038	15200995	NOTCH3	Soft_tissue:Glomous_tumour(MIR143::NOTCH3);Extraskeletal_osteosarcoma(NOTCH3_mutated)								
9	99821855	99866891	NR4A3	Soft_tissue:Extraskeletal_myxoid_chondrosarcoma(EWSR1::NR4A3,TAF15::NR4A3,TCF12::NR4A3,TFG::NR4A3)								
1	114704469	114716771	NRAS	Soft_tissue:Embryonal_rhabdomyosarcoma(NRAS_SNV)|Bone_tumor:Central_chondrosarcoma,_grades_2 and_3(NRAS_mutated);Langerhans_cell_histiocytosis(NRAS_SNV);Erdheim-Chester_disease(NRAS_SNV);Rosai-Dorfman_disease(NRAS_SNV)								
1	156815636	156881850	NTRK1	Soft_tissue:Infantile_fibrosarcoma(::NTRK1);Myxofibrosarcoma(NTRK1_mutated);NTRK-rearranged spindle cell neoplasm(LMNA::NTRK1,TPR::NTRK1,TPM3::NTRK1)								
9	84668375	85095751	NTRK2	Soft_tissue:Infantile_fibrosarcoma(ETV6::NTRK3,EML4::NTRK3,TFG::MET,::NTRK1,::BRAF);NTRK-rearranged spindle cell neoplasm(::NTRK2)								
15	87859751	88256791	NTRK3	Soft_tissue:Inflammatory_myofibroblastic_tumour(ETV6::NTRK3);Infantile_fibrosarcoma(ETV6::NTRK3,EML4::NTRK3);Adult_fibrosarcoma(STRN3::NTRK3);NTRK-rearranged spindle cell neoplasm(::NTRK3)								
15	34343315	34357737	NUTM1	Undifferentiated_small_round_cell_sarcoma:CIC-rearranged_sarcoma(CIC::NUTM1)								
10	87225448	87236908	NUTM2A	Undifferentiated_small_round_cell_sarcoma:CIC-rearranged_sarcoma(CIC::NUTM2A)								
10	79703227	79714681	NUTM2B	Undifferentiated_small_round_cell_sarcoma:Sarcoma_with_BCOR_genetic_alterations(YWHAE::NUTM2B)								
10	101784443	101818465	OGA	Soft_tissue:Myxoinflammatory_fibroblastic_sarcoma(OGA_SV);Pleomorphic_hyalinizing_angiectatic_tumour_of_soft_parts(OGA_SV);Haemosiderotic_fibrolipomatous_tumour(TGFBR3_SV,OGA_SV)								
9	92412380	92424471	OMD	Bone_tumor:Aneurysmal_bone_cyst(OMD::USP6)								
17	2593183	2685615	PAFAH1B1	Bone_tumor:Aneurysmal_bone_cyst(PAFAH1B1::USP6)								
12	102836889	102958410	PAH	Soft_tissue:Elastofibroma(PAH_gain)								
22	31325804	31346346	PATZ1	Undifferentiated_small_round_cell_sarcoma:Round_cell_sarcoma_with_EWSR1-non-ETS_fusions(EWSR1::PATZ1)								
2	222199887	222298998	PAX3	Soft_tissue:Alveolar_rhabdomyosarcoma(PAX3::FOXO1)								
9	36833269	37034268	PAX5	Soft_tissue:Sclerosing_epithelioid_fibrosarcoma(PAX5::CREB3L1)								
1	18630846	18748866	PAX7	Soft_tissue:Alveolar_rhabdomyosarcoma(PAX7::FOXO1)								
1	164555584	164899296	PBX1	Soft_tissue:Myoepithelioma,_myoepithelial carcinoma,_and_mixed_tumour(EWSR1::PBX1)								
9	125747345	125967377	PBX3	Soft_tissue:Myoepithelioma,_myoepithelial carcinoma,_and_mixed_tumour(EWSR1::PBX3);Leiomyoma(EWSR1::PBX3)								
5	892884	919357	PCH2	Soft_tissue:Composite_haemangioendothelioma(EPC1::PCH2)								
22	39223359	39244982	PDGFB	Soft_tissue:Giant_cell_fibroblastoma(COL1A1::PDGFB);Dermatofibrosarcoma_protuberans(COL1A1::PDGFB)								
11	103907189	104164379	PDGFD	Soft_tissue:Dermatofibrosarcoma_protuberans(COL6A3::PDGFD,EMILIN2::PDGFD)								
4	54229280	54298245	PDGFRA	Soft_tissue:Gastrointestinal_stromal_tumour(PDGFRA_INDEL_SNV);Intimal_sarcoma(PDGFRA_amp)|Genetic_tumor_syndrome:GIST_familial(PDGFRA);GIST-plus_syndrome(PDGFRA)								
5	150113839	150155872	PDGFRB	Soft_tissue:Lipofibromatosis(::PDGFRB);Inflammatory_myofibroblastic_tumour(PDGFRB_SV);Myopericytoma,including_myofibroma(PDGFRB_mutated)								
1	13583465	13617957	PDPN	Soft_tissue:Deep_fibrous_histiocytoma(PDPN::PRKCB)								
6	33410399	33416453	PHF1	Soft_tissue:Ossifying_fibromyxoid_tumour(EP400::PHF1,MEAF6::PHF1,EPC1::PHF1,PHF1::TFE3,PHF1::,::PHF1)								
3	179148114	179240093	PIK3CA	Soft_tissue:Angiosarcomas(PIK3CA_mutated);Lipomatosis_of_nerve(PIK3CA_mutated);Embryonal_rhabdomyosarcoma(PIK3CA_SNV);Extraskeletal_osteosarcoma(PIK3CA_mutated);Lymphangioma_and_lymphangiomatosis(PIK3CA_mutated);Erdheim-Chester_disease(PIK3CA_SNV)|GYN:adenocarcinoma(PIK3CA_SNV)								
8	56160909	56211324	PLAG1	Soft_tissue:Lipoblastoma_and_lipoblastomatosis(PLAG1_SV,HAS2::PLAG1,COL1A2::PLAG1,RAD51B::PLAG1,COL3A1::PLAG1,RAB2A::PLAG1,BOC::PLAG1);Leiomyoma(PLAG1_mutated);Myoepithelioma,_myoepithelial carcinoma,_and_mixed_tumour(PLAG1_SV)								
20	41136960	41196801	PLCG1	Soft_tissue:Angiosarcomas(PLCG1_mutated)								
17	15229773	15272292	PMP22	Soft_tissue:Extraskeletal_osteosarcoma(PMP22_gain_amp)								
7	5970925	6009130	PMS2	Genetic_tumor_syndrome:Mismatch_repair_cancer_syndrome(PMS2)								
X	48508959	48520814	PORCN	Genetic_tumor_syndrome:Focal_dermal_hypoplasia(PORCN)								
7	124822386	124929983	POT1	Genetic_tumor_syndrome:Predisposition_to_angiosarcoma(POT1)								
6	31164337	31180731	POU5F1	Soft_tissue:Myoepithelioma,_myoepithelial carcinoma,_and_mixed_tumour(EWSR1::POU5F1)								
12	27523431	27695564	PPFIBP1	Soft_tissue:Inflammatory_myofibroblastic_tumour(PPFIBP1::ALK)								
11	111726908	111766389	PPP2R1B	Soft_tissue:Dedifferentiated_liposarcoma(PPP2R1B_del)								
11	68460731	68615334	PPP6R3	Soft_tissue:Nodular_fasciitis(PPP6R3::USP6)								
11	129899706	130002835	PRDM10	Soft_tissue:Superficial_CD34-positive_fibroblastic_tumour(PRDM10_SV);Undifferentiated_sarcoma(MED12::PRDM10,CITED2::PRDM10)								
17	68511780	68551319	PRKAR1A	Soft_tissue:Inflammatory_myofibroblastic_tumour(PRKAR1A::ALK);Malignant_melanotic_nerve_sheath_tumour(PRKAR1A_mutated);Osteochondromyxoma(PRKAR1A_mutated)|Genetic_tumor_syndrome:Carney_complex_type_1(PRKAR1A)								
16	23835983	24220611	PRKCB	Soft_tissue:Deep_fibrous_histiocytoma(PRKCB_SV,PDPN::PRKCB,CD63::PRKCB)								
3	53156009	53192717	PRKCD	Soft_tissue:Deep_fibrous_histiocytoma(PRKCD_SV,CD63::PRKCD,LAMTOR1::PRKCD)								
19	46674275	46717127	PRKD2	Soft_tissue:Angiolipoma(PRKD2_mutated)								
19	797075	812327	PTBP1	Soft_tissue:Composite_haemangioendothelioma(PTBP1::MAML2)								
9	95442980	95517057	PTCH1	Soft_tissue:Rhabdomyoma(PTCH1_del)|Genetic_tumor_syndrome:Basel_cell_naevus_syndrome(PTCH1)								
10	87862638	87971930	PTEN	Soft_tissue:Leiomyosarcoma(PTEN_loss);Embryonal_rhabdomyosarcoma(PTEN_SNV);Extraskeletal_osteosarcoma(PTEN_mutated)|Genetic_tumor_syndrome:Cowden_syndrome_1(PTEN)								
3	46877721	46903799	PTH1R	Genetic_tumor_syndrome:Enchondromatosis(PTH1R)								
12	112418351	112509918	PTPN11	Genetic_tumor_syndrome:LEOPARD_syndrome_1(PTPN11);Metachondromatosis(PTPN11);Noonan_syndrome_1(PTPN11)								
12	70515870	70637440	PTPRB	Soft_tissue:Angiosarcomas(PTPRB_mutated)								
8	60516936	60623644	RAB2A	Soft_tissue:Lipoblastoma_and_lipoblastomatosis(RAB2A::PLAG1)								
14	67819779	68730218	RAD51B	Soft_tissue:Lipoblastoma_and_lipoblastomatosis(RAD51B::PLAG1)								
2	108719482	108785810	RANBP2	Soft_tissue:Inflammatory_myofibroblastic_tumour(RANBP::ALK)								
13	48303744	48599436	RB1	Soft_tissue:Spindle_cell_lipoma_and_pleomorpic_lipoma(RB1_del);Atypical_spindle_cell/pleomorphic_lipomatous_tumour(RB1_del);Myxoid_pleomorphic_liposarcoma(RB1_del);Myofibroblastoma(RB1_del);Cellular_angiofibroma(RB1_del);Acral_fibromyxoma(RB1_del);Myxofibrosarcoma(RB1_mutated);Extraskeletal_osteosarcoma(RB1_mutated);Leiomyosarcoma(RB1_loss);Undifferentiated_sarcoma(RB1_del,RB1_SNV)|Bone_tumor:Osteosarcoma(RB1_del)|Genetic_tumor_syndrome:Retinoblastoma(RB1)								
13	48488963	48533256	RCBTB2	Soft_tissue:Atypical_spindle_cell/pleomorphic_lipomatous_tumour(RCBTB2_del)								
8	144511288	144517845	RECQL4	Genetic_tumor_syndrome:Rothmund-Thomson_syndrome(RECQL4);Baller-Gerold_syndrome(RECQL4);RAPADILINO_syndrome(RECQL4);Rothmund-Thomson_syndrome(RECQL4)								
11	65653599	65663090	RELA	Soft_tissue:Cellular/atypical_myofibromas(SRF::RELA)								
10	43077064	43130351	RET	Soft_tissue:Lipofibromatosis(::RET);Inflammatory_myofibroblastic_tumour(RET_SV)								
5	38937920	39074402	RICTOR	Soft_tissue:Myxofibrosarcoma(RICTOR_gain)								
6	117287353	117425942	ROS1	Soft_tissue:Lipofibromatosis(::ROS1);Inflammatory_myofibroblastic_tumour(TFG::ROS1,YWHAE::ROS1)								
20	17613678	17682295	RRBP1	Soft_tissue:Inflammatory_myofibroblastic_tumour(RANBP::ALK)								
6	45328157	45664349	RUNX2	Soft_tissue:Extraskeletal_osteosarcoma(RUNX2_gain_amp)|Bone_tumor:Aneurysmal_bone_cyst(RUNX2::USP6)								
5	218303	257082	SDHA	Genetic_tumor_syndrome:GIST(SDHA)								
1	17018664	17054151	SDHB	Genetic_tumor_syndrome:Paraganglioma_and_GIST(SDHB)								
1	161314381	161363206	SDHC	Genetic_tumor_syndrome:Paraganglioma_and_GIST(SDHC)								
11	112086824	112120016	SDHD	Genetic_tumor_syndrome:Paraganglioma_and_GIST(SDHD)								
4	82818509	82901166	SEC31L1	Soft_tissue:Inflammatory_myofibroblastic_tumour(SEC31L1::ALK)								
7	101127104	101139247	SERPINE1	Soft_tissue:Pseudomyogenic_haemangioendothelioma(SERPINE1::FOSB)								
1	35176378	35193446	SFPQ	Soft_tissue:PEComa(SFPQ::TFE3)								
4	2793023	2841291	SH3BP2	Genetic_tumor_syndrome:Cherubism(SH3BP2)								
10	103594027	103855584	SH3PXD2A	Soft_tissue:Schwannoma(SH3PXD2A::HTRA1)								
5	36151989	36196849	SKP2	Soft_tissue:Myxofibrosarcoma(SKP2_gain)								
10	71319259	71381423	SLC29A3	Bone_tumor:Rosai-Dorfman_disease(SLC29A3_SNV)								
15	67063763	67195173	SMAD3	Soft_tissue:EWSR1-SMAD3-positive_fibroblastic_tumour(EWSR1::SMAD3)								
9	1980290	2193624	SMARCA2	Soft_tissue:Atypical_neurofibroma/atypical_neurofibromatous_neoplasm(SMARCA2_del);Neurofibroma(SMARCA2_del)								
19	10960932	11079426	SMARCA4	Soft_tissue:Extraskeletal_osteosarcoma(SMARCA4_mutated);Extrarenal_rhabdoid_tumour(SMARCA4_SNV,SMARCA4_del)								
22	23786931	23838009	SMARCB1	Soft_tissue:Myoepithelioma,_myoepithelial carcinoma,_and_mixed_tumour(SMARCB1_del);Epithelioid_sarcoma(SMARCB1_del);Extrarenal_rhabdoid_tumour(SMARCB1_SNV,SMARCB1_del)|Bone_tumor:Poorly_differentiated_chordoma(SMARCB1_del)|Genetic_tumor_syndrome:Rhabdoid_tumour_predisposition_syndrome_1(SMARCB1)								
2	38962206	39124345	SOS1	Genetic_tumor_syndrome:Noonan_syndrome_4(SOS1)								
22	37970686	37987422	SOX10	Soft_tissue:Schwannoma(SOX10_SNV)								
5	151661096	151686975	SPARC	Bone_tumor:Aneurysmal_bone_cyst(SPARC::USP6)								
5	179806398	179838078	SQSTM1	Genetic_tumor_syndrome:Padget_disease_of_bone(SQSTM1)								
6	43171269	43181506	SRF	Soft_tissue:Cellular/atypical_myofibromas(SRF::RELA):Spindle_cell/sclerosing_rhabdomyosarcoma(SRF::NCOA2,TEAD1::NCOA2,VGLL2::NCOA2,VGLL2::CITED2)								
18	26016253	26091217	SS18	Soft_tissue:Synovial_sarcoma(SS18::SSX1,SS18::SSX2,SS18:SSX4)								
X	48255392	48267444	SSX1	Soft_tissue:Synovial_sarcoma(SS18::SSX1)								
X	52696896	52707178	SSX2	Soft_tissue:Synovial_sarcoma(SS18::SSX2)								
X	48383516	48393347	SSX4	Soft_tissue:Synovial_sarcoma(SS18::SSX4)								
X	123960212	124422664	STAG2	Undifferentiated_small_round_cell_sarcoma:Ewing_sarcoma(STAG2_mutated)								
13	33103137	33350630	STARD13	Bone_tumor:Fibrosarcoma_of_bone(STARD13_del)								
17	42313324	42388568	STAT3	Bone_tumor:Aneurysmal_bone_cyst(STAT3::USP6)								
12	57095408	57132139	STAT6	Soft_tissue:Solitary_fibrous_tumour(NAB2::STAT6)								
14	30893799	31026401	STRN3	Soft_tissue:Adult_fibrosarcoma(STRN3::NTRK3)								
17	31937007	32001045	SUZ12	Soft_tissue:Endometrial_stromal_sarcoma(JAZ1::SUZ12);Malignant_peripheral_nerve_sheath_tumour(SUZ12_mutated)|GYN:Endometrial_stromal_cell_nodulus(JAZ1::SUZ12)								
17	35809482	35864615	TAF15	Soft_tissue:Extraskeletal_myxoid_chondrosarcoma(TAF15::NR4A3)|Undifferentiated_small_round_cell_sarcoma:Ewing_sarcoma(TAF15::)								
3	177019340	177228000	TBL1XR1	Bone_tumor:Chondromyxoid_fibroma(TBL1XR1::GRM1)								
6	166157656	166168700	TBXT	Bone_tumor:Conventional_chordoma(TBXT_gain);Dedifferentiated_chordoma(TBXT_gain)|Genetic_tumor_syndrome:Chordoma_familial(TBXT)								
15	56918623	57299281	TCF12	Soft_tissue:Extraskeletal_myxoid_chondrosarcoma(TCF12::NR4A3)								
11	12674421	12944737	TEAD1	Soft_tissue:Spindle_cell/sclerosing_rhabdomyosarcoma(TEAD1::NCOA2)								
9	27109141	27230174	TEK	Genetic_tumor_syndrome:Venous_malformations_multiple_cutanous_and_mucosal(TEK)								
5	1253147	1295068	TERT	Soft_tissue:Myxoid_liposarcoma(TERT_promoter_mutated);Dedifferentiated_liposarcoma(TERT_amp);Atypical_fibroxanthoma(TERT_promoter_mutated);Extraskeletal_osteosarcoma(TERT_promoter_mutated)								
12	51093656	51173135	TFCP2	Soft_tissue:Spindle_cell/sclerosing_rhabdomyosarcoma(EWSR1::TFCP2,FUS::TFCP2)								
X	49028726	49043410	TFE3	Soft_tissue:Epithelioid_haemangioendothelioma(YAP1::TFE3);Ossifying_fibromyxoid_tumour(PHF1::TFE3);Alveolar_soft_part_sarcoma(ASPSCR1::TFE3);PEComa(SFPQ::TFE3,DVL2::TFE3,NONO::TFE3,::TFE3)|Bone_tumor:Epithelioid_haemangioendothelioma_of_bone(YAP1::TFE3)								
3	100709295	100748964	TFG	Soft_tissue:Inflammatory_myofibroblastic_tumour(TFG::ALK,TFG::ROS1);Infantile_fibrosarcoma(TFG::MET);Extraskeletal_myxoid_chondrosarcoma(TFG::NR4A3)								
2	70447284	70554193	TGFA	Soft_tissue:Lipofibromatosis(::TGFA)								
1	91680343	91906335	TGFBR3	Soft_tissue:Myxoinflammatory_fibroblastic_sarcoma(TGFBR3_SV);Pleomorphic_hyalinizing_angiectatic_tumour_of_soft_parts(TGFBR3_SV);Haemosiderotic_fibrolipomatous_tumour(TGFBR3_SV,OGA_SV)								
1	36224432	36305357	THRAP3	Bone_tumor:Aneurysmal_bone_cyst(THRAP3::USP6)								
1	43300982	43323108	TIE1	Soft_tissue:Angiosarcomas(TIE1_mutated)								
18	62325287	62391288	TNFRSF11A	Genetic_tumor_syndrome:Padget_disease_of_bone_early_onset(TNFRSF11A);Polyostotic_osteolytic_dysplasia_hereditary_expansile(TNFRSF11A)								
17	7661779	7687546	TP53	Soft_tissue:Angiosarcomas(TP53_mutated);Embryonal_rhabdomyosarcoma(TP53_SNV);Pleomorphic_liposarcoma(TP53_mutated);Extraskeletal_osteosarcoma(TP53_mutated);Solitary_fibrous_tumour(TP53_mutated,TP53_del);Myxofibrosarcoma(TP53_mutated);Leiomyosarcoma(TP53_mutated);Atypical_fibroxanthoma(TP53_SNV);PEComa(TP53_mutated);Undifferentiated_sarcoma(TP53_del,TP53_SNV)|Undifferentiated_small_round_cell_sarcoma:Ewing_sarcoma(TP53_mutated)|Bone_tumor:Central_chondrosarcoma,_grades_2 and_3(TP53_mutated);Dedifferentiated_chondrosarcoma(TP53_mutated);Osteosarcoma(TP53_SV);Undifferentiated_pleomorphic_sarcoma(TP53_SNV)|Genetic_tumor_syndrome:Li-Fraumeni_syndrome(TP53) 								
1	154155308	154194648	TPM3	Soft_tissue:Inflammatory_myofibroblastic_tumour(TPM3::ALK);NTRK-rearranged spindle cell neoplasm(TPM3::NTRK1)								
19	16067021	16103005	TPM4	Soft_tissue:Inflammatory_myofibroblastic_tumour(TPM4::ALK)								
1	186311652	186375693	TPR	Soft_tissue:NTRK-rearranged spindle cell neoplasm(TPR::NTRK1)								
5	14143342	14532128	TRIO	Soft_tissue:Myxofibrosarcoma(TRIO_gain)								
9	132891348	132946874	TSC1	Genetic_tumor_syndrome:Tuberous_sclerosis_1(TSC1)								
16	2047967	2089491	TSC2	Soft_tissue:PEComa(TSC2_del)|Genetic_tumor_syndrome:Tuberous_sclerosis_2(TSC2)								
12	57738013	57750219	TSPAN31	Soft_tissue:Atypical_lipomatous_tumour/well_differentiated_liposarcoma(TSPAN31_amp);Intimal_sarcoma(TSPAN31_amp)								
17	5116032	5175034	USP6	Soft_tissue:Nodular_fasciitis(MYH9::USP6,PPP6R3::USP6,::USP6);Fibroma_of_tendon_sheath(USP6_SV)|Bone_tumor:Aneurysmal_bone_cyst(CDH11::USP6,THRAP3::USP6,CNBP::USP6,OMD::USP6,COL1A1::USP6,CTNNB1::USP6,STAT3::USP6,FOSL2::USP6,EIF1::USP6,SPARC::USP6,PAFAH1B1::USP6, USP9X::USP6,RUNX2::USP6,::USP6)								
X	41085445	41236579	USP9X	Bone_tumor:Aneurysmal_bone_cyst(USP9X::USP6)								
6	117265558	117273565	VGLL2	Soft_tissue:Spindle_cell/sclerosing_rhabdomyosarcoma(VGLL2::NCOA2,VGLL2::CITED2)								
3	86876388	86991149	VGLL3	Soft_tissue:Myxoinflammatory_fibroblastic_sarcoma(VGLL3_amp);Myxofibrosarcoma(VGLL3_amp);Haemosiderotic_fibrolipomatous_tumour(VGLL3_amp);Undifferentiated_sarcoma(VGLL3_amp)								
3	10141778	10153676	VHL	Genetic_tumor_syndrome:Von_Hippel-Lindau_syndrome(VHL)								
10	17228241	17237593	VIM	Soft_tissue:Epithelioid_haemangioma(FOS::VIM)|Bone_tumor:Epithelioid_haemangioma_of_bone(FOS::VIM)								
8	31033788	31176138	WRN	Genetic_tumor_syndrome:Werner_syndrome(WRN);Werner_syndrome(WRN)								
11	32387775	32435564	WT1	Soft_tissue:Desmoplastic_small_round_cell_tumour(EWSR1::WT1)								
3	149517235	149736714	WWTR1	Soft_tissue:Epithelioid_haemangioma(FOSB::WWTR1);Epithelioid_haemangioendothelioma(WWTR1::CAMTA1)|Bone_tumor:Epithelioid_haemangioendothelioma_of_bone(WWTR1::CAMTA1);Epithelioid_haemangioma_of_bone(WWTR1::FOSB)								
11	102110447	102233424	YAP1	Soft_tissue:Epithelioid_haemangioendothelioma(YAP1::TFE3);Undifferentiated_sarcoma(YAP1_amp)|Bone_tumor:Epithelioid_haemangioendothelioma_of_bone(YAP1::TFE3)								
3	183697797	183812624	YEATS2	Bone_tumor:Central_chondrosarcoma,_grades_2 and_3(YEATS2_mutated)								
12	69359710	69390870	YEATS4	Soft_tissue:Atypical_lipomatous_tumour/well_differentiated_liposarcoma(YEATS4_amp)								
17	1344275	1400222	YWHAE	Soft_tissue:Inflammatory_myofibroblastic_tumour(YWHAE::ROS1)|Undifferentiated_small_round_cell_sarcoma:Sarcoma_with_BCOR_genetic_alterations(YWHAE::NUTM2B)								
11	114059041	114256765	ZBTB16	Soft_tissue:Dedifferentiated_liposarcoma(ZBTB16_del)								
19	39406847	39409407	ZFP36	Soft_tissue:Epithelioid_haemangioma(FOSB::ZFP36)|Bone_tumor:Epithelioid_haemangioma_of_bone(ZFP36::FOSB)								
19	56132599	56160893	ZNF444	Soft_tissue:Myoepithelioma,_myoepithelial carcinoma,_and_mixed_tumour(EWSR1::ZNF444)								
1	151281618	151292176	ZNF687	Genetic_tumor_syndrome:Padget_disease_of_bone_6(ZNF687)								

												
