chromosome	start 	end 	gene	mutation	
11	95709762	96076344	MAML2	Soft_tissue:Composite_haemangioendothelioma(PTBP1::MAML2)|Undifferentiated_small_round_cell_sarcoma:Sarcoma_with_BCOR_genetic_alterations(BCOR::MAML2)	
15	66679155	66784650	MAP2K1	Bone_tumor:Langerhans_cell_histiocytosis(MAP2K1_SNV);Erdheim-Chester_disease(MAP2K1_SNV);Rosai-Dorfman_disease(MAP2K1_SNV);Cardiofaciocutaneous_syndrome(MAP2K1)	
17	21187984	21218552	MAP2K3	Soft_tissue:Extraskeletal_osteosarcoma(MAP2K3_mutated)	
6	136878185	137113656	MAP3K5	Soft_tissue:Dedifferentiated_liposarcoma(MAP3K5_amp)	
3	151961617	152183569	MBNL1	Soft_tissue:Epithelioid_haemangioma(FOS::MBNL1)|Bone_tumor:Epithelioid_haemangioma_of_bone(FOS::MBNL1)	
12	69201956	69239214	MDM2	Soft_tissue:Atypical_lipomatous_tumour/well_differentiated_liposarcoma(MDM2_amp);Dedifferentiated_liposarcoma(MDM2_amp);Myxofibrosarcoma(MDM2_amp);Extraskeletal_osteosarcoma(MDM2_gain_amp);Intimal_sarcoma(MDM2_amp)|Bone_tumor:Low-grade_central_osteosarcoma(MDM2_amp);Osteosarcoma(MDM2_amp);Parosteal_osteosarcoma(MDM2_amp)	
1	37958176	37980375	MEAF6	Soft_tissue:Ossifying_fibromyxoid_tumour(MEAF6::PHF1)	
X	70338406	70362303	MED12	Soft_tissue:Leiomyoma(MED12_mutated);Undifferentiated_sarcoma(MED12::PRDM10)	
15	100017370	100256671	MEF2A	Bone_tumor:Chondromyxoid_fibroma(MEF2A::GRM1)	
2	66660584	66801001	MEIS1	Soft_tissue:Spindle_cell/sclerosing_rhabdomyosarcoma(MEIS1::NCOA2)	
11	64570982	64578766	MEN1	Soft_tissue:Hibernoma(AIP_del)|Genetic_tumor_syndrome:mutatedilpe endocrine_neoplasia_type_1(MEN1)	
7	116312444	116438440	MET	Soft_tissue:Infantile_fibrosarcoma(TFG::MET)	
X	10413350	10851773	MID1	Genetic_tumor_syndrome:Opitz_G/BBB_syndrome_X-linked(MID1)	
5	148808481	148808586	MIR143	Soft_tissue:Glomous_tumour(MIR143::NOTCH1/2/3)	
13	92000074	92006833	MIR17HG	Soft_tissue:Alveolar_rhabdomyosarcoma(MIR17HG_amp)	
10	61496753	61513203	MRLN	Soft_tissue:Ectomesenchymoma(MRLN_amp)	
16	14165178	14360630	MRTFB	Soft_tissue:Chondroid_lipoma(C11orf95::MRTFB)	
9	21802542	21931646	MTAP	Genetic_tumor_syndrome:Diaphyseal_medullary_stenosis(MTAP)	
8	128747680	128753674	MYC	Soft_tissue:Angiosarcomas(MYC_amp)|Bone_tumor:Primary_non-Hodgkin_lymphoma_of_bone(MYC_SV)	
2	16080686	16087129	MYCN	Soft_tissue:Alveolar_rhabdomyosarcoma(MYCN_amp)	
22	36677327	36784063	MYH9	Soft_tissue:Nodular_fasciitis(MYH9::USP6)	
15	59427113	59665099	MYO1E	Bone_tumor:Chondromyxoid_fibroma(MYO1E::GRM1)	
17	12569207	12672266	MYOCD	Soft_tissue:Leiomyosarcoma(MYOCD_amp)	
11	17741115	17743678	MYOD1	Soft_tissue:Spindle_cell/sclerosing_rhabdomyosarcoma(MYOD1_SNV)	
1	203052260	203055164	MYOG	Soft_tissue:Ectomesenchymoma(MYOG_amp)	
12	57482677	57489259	NAB2	Soft_tissue:Solitary_fibrous_tumour(NAB2::STAT6)	
8	90945564	91015456	NBN	Genetic_tumor_syndrome:Nijmegen_breakage_syndrome(NBN)	
8	71021997	71316040	NCOA2	Soft_tissue:Angiofibroma_of_soft_tissue(AHRR::NCOA2,GTF2I::NCOA2,NCOA2_SV);Spindle_cell/sclerosing_rhabdomyosarcoma(SRF::NCOA2,TEAD1::NCOA2,VGLL2::NCOA2,MEIS1::NCOA2)|Bone_tumor:Mesenchymal_chondrosarcoma(HEY1::NCOA2)	
17	29421945	29709134	NF1	Soft_tissue:Neurofibroma(NF1_del);Embryonal_rhabdomyosarcoma(NF1_SNV);Pleomorphic_liposarcoma(NF1_mutated);Myxofibrosarcoma(NF1_del,NF1_mutated);Extraskeletal_osteosarcoma(NF1_mutated);Inflammatory_leiomyosarcoma(NF1_mutated);Neurofibroma(NF1_del);Malignant_peripheral_nerve_sheath_tumour(NF1_mutated)|Genetic_tumor_syndrome:Neurofibromatosis_type_1(NF1)	
22	29999545	30094587	NF2	Soft_tissue:Schwannoma(NF2_del);Perineurioma(NF2_del)|Genetic_tumor_syndrome:Neurofibromatosis_type_2	
20	50003494	50179370	NFATC2	Undifferentiated_small_round_cell_sarcoma:Round_cell_sarcoma_with_EWSR1-non-ETS_fusions(EWSR1::NFATC2,FUS::NFATC2)	
X	70503042	70521018	NONO	Soft_tissue:PEComa(NONO::TFE3)	
9	139388896	139440314	NOTCH1	Soft_tissue:Glomous_tumour(MIR143::NOTCH1);Atypical_fibroxanthoma(NOTCH1_mutated)	
1	120454176	120612240	NOTCH2	Soft_tissue:Glomous_tumour(MIR143::NOTCH2)	
19	15270444	15311792	NOTCH3	Soft_tissue:Glomous_tumour(MIR143::NOTCH3);Extraskeletal_osteosarcoma(NOTCH3_mutated)	
9	102584137	102629173	NR4A3	Soft_tissue:Extraskeletal_myxoid_chondrosarcoma(EWSR1::NR4A3,TAF15::NR4A3,TCF12::NR4A3,TFG::NR4A3)	
1	115247090	115259515	NRAS	Soft_tissue:Embryonal_rhabdomyosarcoma(NRAS_SNV)|Bone_tumor:Central_chondrosarcoma,_grades_2 and_3(NRAS_mutated);Langerhans_cell_histiocytosis(NRAS_SNV);Erdheim-Chester_disease(NRAS_SNV);Rosai-Dorfman_disease(NRAS_SNV)	
1	156785432	156851642	NTRK1	Soft_tissue:Infantile_fibrosarcoma(::NTRK1);Myxofibrosarcoma(NTRK1_mutated);NTRK-rearranged spindle cell neoplasm(LMNA::NTRK1,TPR::NTRK1,TPM3::NTRK1)	
9	87283466	87638505	NTRK2	Soft_tissue:Infantile_fibrosarcoma(ETV6::NTRK3,EML4::NTRK3,TFG::MET,::NTRK1,::BRAF);NTRK-rearranged spindle cell neoplasm(::NTRK2)	
15	88418230	88799999	NTRK3	Soft_tissue:Inflammatory_myofibroblastic_tumour(ETV6::NTRK3);Infantile_fibrosarcoma(ETV6::NTRK3,EML4::NTRK3);Adult_fibrosarcoma(STRN3::NTRK3);NTRK-rearranged spindle cell neoplasm(::NTRK3)	
15	34635516	34649938	NUTM1	Undifferentiated_small_round_cell_sarcoma:CIC-rearranged_sarcoma(CIC::NUTM1)	
10	88985205	88996665	NUTM2A	Undifferentiated_small_round_cell_sarcoma:CIC-rearranged_sarcoma(CIC::NUTM2A)	
10	81462983	81474437	NUTM2B	Undifferentiated_small_round_cell_sarcoma:Sarcoma_with_BCOR_genetic_alterations(YWHAE::NUTM2B)	
10	103544200	103578696	OGA	Soft_tissue:Myxoinflammatory_fibroblastic_sarcoma(OGA_SV);Pleomorphic_hyalinizing_angiectatic_tumour_of_soft_parts(OGA_SV);Haemosiderotic_fibrolipomatous_tumour(TGFBR3_SV,OGA_SV)	
9	95176527	95186743	OMD	Bone_tumor:Aneurysmal_bone_cyst(OMD::USP6)	
17	2496504	2588909	PAFAH1B1	Bone_tumor:Aneurysmal_bone_cyst(PAFAH1B1::USP6)	
12	103230663	103352188	PAH	Soft_tissue:Elastofibroma(PAH_gain)	
22	31721790	31742218	PATZ1	Undifferentiated_small_round_cell_sarcoma:Round_cell_sarcoma_with_EWSR1-non-ETS_fusions(EWSR1::PATZ1)	
2	223064607	223163715	PAX3	Soft_tissue:Alveolar_rhabdomyosarcoma(PAX3::FOXO1)	
9	36833272	37034103	PAX5	Soft_tissue:Sclerosing_epithelioid_fibrosarcoma(PAX5::CREB3L1)	
1	18957500	19075360	PAX7	Soft_tissue:Alveolar_rhabdomyosarcoma(PAX7::FOXO1)	
1	164524821	164868533	PBX1	Soft_tissue:Myoepithelioma,_myoepithelial carcinoma,_and_mixed_tumour(EWSR1::PBX1)	
9	128509624	128729656	PBX3	Soft_tissue:Myoepithelioma,_myoepithelial carcinoma,_and_mixed_tumour(EWSR1::PBX3);Leiomyoma(EWSR1::PBX3)	
5	892758	919472	PCH2	Soft_tissue:Composite_haemangioendothelioma(EPC1::PCH2)	
22	39619364	39640756	PDGFB	Soft_tissue:Giant_cell_fibroblastoma(COL1A1::PDGFB);Dermatofibrosarcoma_protuberans(COL1A1::PDGFB)	
11	103777914	104035107	PDGFD	Soft_tissue:Dermatofibrosarcoma_protuberans(COL6A3::PDGFD,EMILIN2::PDGFD)	
4	55095264	55164414	PDGFRA	Soft_tissue:Gastrointestinal_stromal_tumour(PDGFRA_INDEL_SNV);Intimal_sarcoma(PDGFRA_amp)|Genetic_tumor_syndrome:GIST_familial(PDGFRA);GIST-plus_syndrome(PDGFRA)	
5	149493400	149535435	PDGFRB	Soft_tissue:Lipofibromatosis(::PDGFRB);Inflammatory_myofibroblastic_tumour(PDGFRB_SV);Myopericytoma,including_myofibroma(PDGFRB_mutated)	
1	13909960	13944452	PDPN	Soft_tissue:Deep_fibrous_histiocytoma(PDPN::PRKCB)	
6	33378176	33384230	PHF1	Soft_tissue:Ossifying_fibromyxoid_tumour(EP400::PHF1,MEAF6::PHF1,EPC1::PHF1,PHF1::TFE3,PHF1::,::PHF1)	
3	178865902	178957881	PIK3CA	Soft_tissue:Angiosarcomas(PIK3CA_mutated);Lipomatosis_of_nerve(PIK3CA_mutated);Embryonal_rhabdomyosarcoma(PIK3CA_SNV);Extraskeletal_osteosarcoma(PIK3CA_mutated);Lymphangioma_and_lymphangiomatosis(PIK3CA_mutated);Erdheim-Chester_disease(PIK3CA_SNV)|GYN:adenocarcinoma(PIK3CA_SNV)	
8	57073463	57123883	PLAG1	Soft_tissue:Lipoblastoma_and_lipoblastomatosis(PLAG1_SV,HAS2::PLAG1,COL1A2::PLAG1,RAD51B::PLAG1,COL3A1::PLAG1,RAB2A::PLAG1,BOC::PLAG1);Leiomyoma(PLAG1_mutated);Myoepithelioma,_myoepithelial carcinoma,_and_mixed_tumour(PLAG1_SV)	
20	39765600	39811629	PLCG1	Soft_tissue:Angiosarcomas(PLCG1_mutated)	
17	15133095	15168643	PMP22	Soft_tissue:Extraskeletal_osteosarcoma(PMP22_gain_amp)	
7	6012870	6048756	PMS2	Genetic_tumor_syndrome:Mismatch_repair_cancer_syndrome(PMS2)	
X	48367350	48379202	PORCN	Genetic_tumor_syndrome:Focal_dermal_hypoplasia(PORCN)	
7	124462440	124570037	POT1	Genetic_tumor_syndrome:Predisposition_to_angiosarcoma(POT1)	
6	31132119	31148508	POU5F1	Soft_tissue:Myoepithelioma,_myoepithelial carcinoma,_and_mixed_tumour(EWSR1::POU5F1)	
12	27676364	27848497	PPFIBP1	Soft_tissue:Inflammatory_myofibroblastic_tumour(PPFIBP1::ALK)	
11	111597632	111637151	PPP2R1B	Soft_tissue:Dedifferentiated_liposarcoma(PPP2R1B_del)	
11	68228186	68382802	PPP6R3	Soft_tissue:Nodular_fasciitis(PPP6R3::USP6)	
11	129769601	129872730	PRDM10	Soft_tissue:Superficial_CD34-positive_fibroblastic_tumour(PRDM10_SV);Undifferentiated_sarcoma(MED12::PRDM10,CITED2::PRDM10)	
17	66507921	66547460	PRKAR1A	Soft_tissue:Inflammatory_myofibroblastic_tumour(PRKAR1A::ALK);Malignant_melanotic_nerve_sheath_tumour(PRKAR1A_mutated);Osteochondromyxoma(PRKAR1A_mutated)|Genetic_tumor_syndrome:Carney_complex_type_1(PRKAR1A)	
16	23847322	24231932	PRKCB	Soft_tissue:Deep_fibrous_histiocytoma(PRKCB_SV,PDPN::PRKCB,CD63::PRKCB)	
3	53190025	53226733	PRKCD	Soft_tissue:Deep_fibrous_histiocytoma(PRKCD_SV,CD63::PRKCD,LAMTOR1::PRKCD)	
19	47177532	47220384	PRKD2	Soft_tissue:Angiolipoma(PRKD2_mutated)	
19	797075	812327	PTBP1	Soft_tissue:Composite_haemangioendothelioma(PTBP1::MAML2)	
9	98205262	98279339	PTCH1	Soft_tissue:Rhabdomyoma(PTCH1_del)|Genetic_tumor_syndrome:Basel_cell_naevus_syndrome(PTCH1)	
10	89622870	89731687	PTEN	Soft_tissue:Leiomyosarcoma(PTEN_loss);Embryonal_rhabdomyosarcoma(PTEN_SNV);Extraskeletal_osteosarcoma(PTEN_mutated)|Genetic_tumor_syndrome:Cowden_syndrome_1(PTEN)	
3	46919236	46945287	PTH1R	Genetic_tumor_syndrome:Enchondromatosis(PTH1R)	
12	112856155	112947717	PTPN11	Genetic_tumor_syndrome:LEOPARD_syndrome_1(PTPN11);Metachondromatosis(PTPN11);Noonan_syndrome_1(PTPN11)	
12	70910630	71031220	PTPRB	Soft_tissue:Angiosarcomas(PTPRB_mutated)	
8	61429416	61536186	RAB2A	Soft_tissue:Lipoblastoma_and_lipoblastomatosis(RAB2A::PLAG1)	
14	68286496	69196935	RAD51B	Soft_tissue:Lipoblastoma_and_lipoblastomatosis(RAD51B::PLAG1)	
2	109335937	109402267	RANBP2	Soft_tissue:Inflammatory_myofibroblastic_tumour(RANBP::ALK)	
13	48877887	49056122	RB1	Soft_tissue:Spindle_cell_lipoma_and_pleomorpic_lipoma(RB1_del);Atypical_spindle_cell/pleomorphic_lipomatous_tumour(RB1_del);Myxoid_pleomorphic_liposarcoma(RB1_del);Myofibroblastoma(RB1_del);Cellular_angiofibroma(RB1_del);Acral_fibromyxoma(RB1_del);Myxofibrosarcoma(RB1_mutated);Extraskeletal_osteosarcoma(RB1_mutated);Leiomyosarcoma(RB1_loss);Undifferentiated_sarcoma(RB1_del,RB1_SNV)|Bone_tumor:Osteosarcoma(RB1_del)|Genetic_tumor_syndrome:Retinoblastoma(RB1)	
13	49063095	49107369	RCBTB2	Soft_tissue:Atypical_spindle_cell/pleomorphic_lipomatous_tumour(RCBTB2_del)	
8	145736667	145743229	RECQL4	Genetic_tumor_syndrome:Rothmund-Thomson_syndrome(RECQL4);Baller-Gerold_syndrome(RECQL4);RAPADILINO_syndrome(RECQL4);Rothmund-Thomson_syndrome(RECQL4)	
11	65421067	65430565	RELA	Soft_tissue:Cellular/atypical_myofibromas(SRF::RELA)	
10	43572475	43625799	RET	Soft_tissue:Lipofibromatosis(::RET);Inflammatory_myofibroblastic_tumour(RET_SV)	
5	38938021	39074510	RICTOR	Soft_tissue:Myxofibrosarcoma(RICTOR_gain)	
6	117609463	117747018	ROS1	Soft_tissue:Lipofibromatosis(::ROS1);Inflammatory_myofibroblastic_tumour(TFG::ROS1,YWHAE::ROS1)	
20	17594323	17662940	RRBP1	Soft_tissue:Inflammatory_myofibroblastic_tumour(RANBP::ALK)	
6	45295894	45632086	RUNX2	Soft_tissue:Extraskeletal_osteosarcoma(RUNX2_gain_amp)|Bone_tumor:Aneurysmal_bone_cyst(RUNX2::USP6)	
5	218356	256815	SDHA	Genetic_tumor_syndrome:GIST(SDHA)	
1	17345217	17380665	SDHB	Genetic_tumor_syndrome:Paraganglioma_and_GIST(SDHB)	
1	161284047	161332984	SDHC	Genetic_tumor_syndrome:Paraganglioma_and_GIST(SDHC)	
11	111957627	112064528	SDHD	Genetic_tumor_syndrome:Paraganglioma_and_GIST(SDHD)	
4	83739814	83822319	SEC31L1	Soft_tissue:Inflammatory_myofibroblastic_tumour(SEC31L1::ALK)	
7	100770370	100782547	SERPINE1	Soft_tissue:Pseudomyogenic_haemangioendothelioma(SERPINE1::FOSB)	
1	35641979	35658749	SFPQ	Soft_tissue:PEComa(SFPQ::TFE3)	
4	2794750	2842825	SH3BP2	Genetic_tumor_syndrome:Cherubism(SH3BP2)	
10	105348285	105615301	SH3PXD2A	Soft_tissue:Schwannoma(SH3PXD2A::HTRA1)	
5	36152091	36184421	SKP2	Soft_tissue:Myxofibrosarcoma(SKP2_gain)	
10	73079015	73123142	SLC29A3	Bone_tumor:Rosai-Dorfman_disease(SLC29A3_SNV)	
15	67356101	67487533	SMAD3	Soft_tissue:EWSR1-SMAD3-positive_fibroblastic_tumour(EWSR1::SMAD3)	
9	2015342	2193624	SMARCA2	Soft_tissue:Atypical_neurofibroma/atypical_neurofibromatous_neoplasm(SMARCA2_del);Neurofibroma(SMARCA2_del)	
19	11071598	11176071	SMARCA4	Soft_tissue:Extraskeletal_osteosarcoma(SMARCA4_mutated);Extrarenal_rhabdoid_tumour(SMARCA4_SNV,SMARCA4_del)	
22	24129150	24176703	SMARCB1	Soft_tissue:Myoepithelioma,_myoepithelial carcinoma,_and_mixed_tumour(SMARCB1_del);Epithelioid_sarcoma(SMARCB1_del);Extrarenal_rhabdoid_tumour(SMARCB1_SNV,SMARCB1_del)|Bone_tumor:Poorly_differentiated_chordoma(SMARCB1_del)|Genetic_tumor_syndrome:Rhabdoid_tumour_predisposition_syndrome_1(SMARCB1)	
2	39208537	39351486	SOS1	Genetic_tumor_syndrome:Noonan_syndrome_4(SOS1)	
22	38366693	38383429	SOX10	Soft_tissue:Schwannoma(SOX10_SNV)	
5	151040657	151066726	SPARC	Bone_tumor:Aneurysmal_bone_cyst(SPARC::USP6)	
5	179233388	179265078	SQSTM1	Genetic_tumor_syndrome:Padget_disease_of_bone(SQSTM1)	
6	43139037	43149243	SRF	Soft_tissue:Cellular/atypical_myofibromas(SRF::RELA):Spindle_cell/sclerosing_rhabdomyosarcoma(SRF::NCOA2,TEAD1::NCOA2,VGLL2::NCOA2,VGLL2::CITED2)	
18	23596578	23671181	SS18	Soft_tissue:Synovial_sarcoma(SS18::SSX1,SS18::SSX2,SS18:SSX4)	
X	48114752	48126879	SSX1	Soft_tissue:Synovial_sarcoma(SS18::SSX1)	
X	48114716	48126843	SSX2	Soft_tissue:Synovial_sarcoma(SS18::SSX2)	
X	48242980	48252789	SSX4	Soft_tissue:Synovial_sarcoma(SS18::SSX4)	
X	123094062	123556514	STAG2	Undifferentiated_small_round_cell_sarcoma:Ewing_sarcoma(STAG2_mutated)	
13	33677272	33924767	STARD13	Bone_tumor:Fibrosarcoma_of_bone(STARD13_del)	
17	40465342	40540586	STAT3	Bone_tumor:Aneurysmal_bone_cyst(STAT3::USP6)	
12	57489191	57525922	STAT6	Soft_tissue:Solitary_fibrous_tumour(NAB2::STAT6)	
14	31363005	31495607	STRN3	Soft_tissue:Adult_fibrosarcoma(STRN3::NTRK3)	
17	30264037	30328064	SUZ12	Soft_tissue:Endometrial_stromal_sarcoma(JAZ1::SUZ12);Malignant_peripheral_nerve_sheath_tumour(SUZ12_mutated)|GYN:Endometrial_stromal_cell_nodulus(JAZ1::SUZ12)	
17	34136459	34191619	TAF15	Soft_tissue:Extraskeletal_myxoid_chondrosarcoma(TAF15::NR4A3)|Undifferentiated_small_round_cell_sarcoma:Ewing_sarcoma(TAF15::)	
3	34136474	34191634	TBL1XR1	Bone_tumor:Chondromyxoid_fibroma(TBL1XR1::GRM1)	
6	166571144	166582188	TBXT	Bone_tumor:Conventional_chordoma(TBXT_gain);Dedifferentiated_chordoma(TBXT_gain)|Genetic_tumor_syndrome:Chordoma_familial(TBXT)	
15	57210821	57591479	TCF12	Soft_tissue:Extraskeletal_myxoid_chondrosarcoma(TCF12::NR4A3)	
11	12695969	12966298	TEAD1	Soft_tissue:Spindle_cell/sclerosing_rhabdomyosarcoma(TEAD1::NCOA2)	
9	27109139	27230173	TEK	Genetic_tumor_syndrome:Venous_malformations_multiple_cutanous_and_mucosal(TEK)	
5	1253262	1295184	TERT	Soft_tissue:Myxoid_liposarcoma(TERT_promoter_mutated);Dedifferentiated_liposarcoma(TERT_amp);Atypical_fibroxanthoma(TERT_promoter_mutated);Extraskeletal_osteosarcoma(TERT_promoter_mutated)	
12	51487446	51566926	TFCP2	Soft_tissue:Spindle_cell/sclerosing_rhabdomyosarcoma(EWSR1::TFCP2,FUS::TFCP2)	
X	48886242	48901012	TFE3	Soft_tissue:Epithelioid_haemangioendothelioma(YAP1::TFE3);Ossifying_fibromyxoid_tumour(PHF1::TFE3);Alveolar_soft_part_sarcoma(ASPSCR1::TFE3);PEComa(SFPQ::TFE3,DVL2::TFE3,NONO::TFE3,::TFE3)|Bone_tumor:Epithelioid_haemangioendothelioma_of_bone(YAP1::TFE3)	
3	48888130	48902885	TFG	Soft_tissue:Inflammatory_myofibroblastic_tumour(TFG::ALK,TFG::ROS1);Infantile_fibrosarcoma(TFG::MET);Extraskeletal_myxoid_chondrosarcoma(TFG::NR4A3)	
2	70674412	70781325	TGFA	Soft_tissue:Lipofibromatosis(::TGFA)	
1	70674412	70781325	TGFBR3	Soft_tissue:Myxoinflammatory_fibroblastic_sarcoma(TGFBR3_SV);Pleomorphic_hyalinizing_angiectatic_tumour_of_soft_parts(TGFBR3_SV);Haemosiderotic_fibrolipomatous_tumour(TGFBR3_SV,OGA_SV)	
1	36690017	36770958	THRAP3	Bone_tumor:Aneurysmal_bone_cyst(THRAP3::USP6)	
1	43766664	43788779	TIE1	Soft_tissue:Angiosarcomas(TIE1_mutated)	
18	59992520	60058516	TNFRSF11A	Genetic_tumor_syndrome:Padget_disease_of_bone_early_onset(TNFRSF11A);Polyostotic_osteolytic_dysplasia_hereditary_expansile(TNFRSF11A)	
17	7565097	7590856	TP53	Soft_tissue:Angiosarcomas(TP53_mutated);Embryonal_rhabdomyosarcoma(TP53_SNV);Pleomorphic_liposarcoma(TP53_mutated);Extraskeletal_osteosarcoma(TP53_mutated);Solitary_fibrous_tumour(TP53_mutated,TP53_del);Myxofibrosarcoma(TP53_mutated);Leiomyosarcoma(TP53_mutated);Atypical_fibroxanthoma(TP53_SNV);PEComa(TP53_mutated);Undifferentiated_sarcoma(TP53_del,TP53_SNV)|Undifferentiated_small_round_cell_sarcoma:Ewing_sarcoma(TP53_mutated)|Bone_tumor:Central_chondrosarcoma,_grades_2 and_3(TP53_mutated);Dedifferentiated_chondrosarcoma(TP53_mutated);Osteosarcoma(TP53_SV);Undifferentiated_pleomorphic_sarcoma(TP53_SNV)|Genetic_tumor_syndrome:Li-Fraumeni_syndrome(TP53) 	
1	154127784	154167124	TPM3	Soft_tissue:Inflammatory_myofibroblastic_tumour(TPM3::ALK);NTRK-rearranged spindle cell neoplasm(TPM3::NTRK1)	
19	16177831	16213813	TPM4	Soft_tissue:Inflammatory_myofibroblastic_tumour(TPM4::ALK)	
1	186280784	186344825	TPR	Soft_tissue:NTRK-rearranged spindle cell neoplasm(TPR::NTRK1)	
5	14143811	14532235	TRIO	Soft_tissue:Myxofibrosarcoma(TRIO_gain)	
9	135766735	135820020	TSC1	Genetic_tumor_syndrome:Tuberous_sclerosis_1(TSC1)	
16	2097466	2138716	TSC2	Soft_tissue:PEComa(TSC2_del)|Genetic_tumor_syndrome:Tuberous_sclerosis_2(TSC2)	
12	58131796	58143994	TSPAN31	Soft_tissue:Atypical_lipomatous_tumour/well_differentiated_liposarcoma(TSPAN31_amp);Intimal_sarcoma(TSPAN31_amp)	
17	5019733	5078329	USP6	Soft_tissue:Nodular_fasciitis(MYH9::USP6,PPP6R3::USP6,::USP6);Fibroma_of_tendon_sheath(USP6_SV)|Bone_tumor:Aneurysmal_bone_cyst(CDH11::USP6,THRAP3::USP6,CNBP::USP6,OMD::USP6,COL1A1::USP6,CTNNB1::USP6,STAT3::USP6,FOSL2::USP6,EIF1::USP6,SPARC::USP6,PAFAH1B1::USP6, USP9X::USP6,RUNX2::USP6,::USP6)	
X	40944888	41095832	USP9X	Bone_tumor:Aneurysmal_bone_cyst(USP9X::USP6)	
6	117586721	117594728	VGLL2	Soft_tissue:Spindle_cell/sclerosing_rhabdomyosarcoma(VGLL2::NCOA2,VGLL2::CITED2)	
3	86987119	87040269	VGLL3	Soft_tissue:Myxoinflammatory_fibroblastic_sarcoma(VGLL3_amp);Myxofibrosarcoma(VGLL3_amp);Haemosiderotic_fibrolipomatous_tumour(VGLL3_amp);Undifferentiated_sarcoma(VGLL3_amp)	
3	10182692	10193904	VHL	Genetic_tumor_syndrome:Von_Hippel-Lindau_syndrome(VHL)	
10	17270258	17279592	VIM	Soft_tissue:Epithelioid_haemangioma(FOS::VIM)|Bone_tumor:Epithelioid_haemangioma_of_bone(FOS::VIM)	
8	30891317	31031285	WRN	Genetic_tumor_syndrome:Werner_syndrome(WRN);Werner_syndrome(WRN)	
11	32409321	32457176	WT1	Soft_tissue:Desmoplastic_small_round_cell_tumour(EWSR1::WT1)	
3	149235022	149454501	WWTR1	Soft_tissue:Epithelioid_haemangioma(FOSB::WWTR1);Epithelioid_haemangioendothelioma(WWTR1::CAMTA1)|Bone_tumor:Epithelioid_haemangioendothelioma_of_bone(WWTR1::CAMTA1);Epithelioid_haemangioma_of_bone(WWTR1::FOSB)	
11	101981192	102104154	YAP1	Soft_tissue:Epithelioid_haemangioendothelioma(YAP1::TFE3);Undifferentiated_sarcoma(YAP1_amp)|Bone_tumor:Epithelioid_haemangioendothelioma_of_bone(YAP1::TFE3)	
3	183415606	183530413	YEATS2	Bone_tumor:Central_chondrosarcoma,_grades_2 and_3(YEATS2_mutated)	
12	69753483	69784576	YEATS4	Soft_tissue:Atypical_lipomatous_tumour/well_differentiated_liposarcoma(YEATS4_amp)	
17	1247566	1303672	YWHAE	Soft_tissue:Inflammatory_myofibroblastic_tumour(YWHAE::ROS1)|Undifferentiated_small_round_cell_sarcoma:Sarcoma_with_BCOR_genetic_alterations(YWHAE::NUTM2B)	
11	113930315	114121398	ZBTB16	Soft_tissue:Dedifferentiated_liposarcoma(ZBTB16_del)	
19	39897453	39900052	ZFP36	Soft_tissue:Epithelioid_haemangioma(FOSB::ZFP36)|Bone_tumor:Epithelioid_haemangioma_of_bone(ZFP36::FOSB)	
19	56643968	56672262	ZNF444	Soft_tissue:Myoepithelioma,_myoepithelial carcinoma,_and_mixed_tumour(EWSR1::ZNF444)	
1	151254094	151264656	ZNF687	Genetic_tumor_syndrome:Padget_disease_of_bone_6(ZNF687)
